sim_num,max_danger,avg_danger,interactions,lane_switch_interactions,tailgating_interactions,goals_not_reached,collisions,emergency_maneuvers,avg_velocity,overall_steps,number_egos
237,0.3938614989893808,0.18453217590608473,22,15,7,1,0,0,9.482341287683214,200,4
238,0.3963436243314568,0.1900254923562213,11,11,0,1,0,0,9.477555163628182,200,4
239,0.34416361271397383,0.1617274440120451,11,4,7,1,0,0,9.398904661609425,200,3
240,2.5298307458471343,1.112129817087342,10,10,0,1,0,6,10.070782349577428,200,4
241,1.2106077544434297,0.38801715800566117,1,1,0,1,0,0,11.368183768815944,200,3
242,1.8337343801909132,0.5077142190403922,18,11,7,2,0,5,9.181341995634503,200,5
243,0.3674053341939803,0.17402018490976956,11,4,7,2,0,0,9.484990524486056,200,4
244,0.2997928118431076,0.19549704300038773,0,0,0,0,0,0,9.210657231162978,194,3
245,0.15912150184018573,0.09538307208410185,0,0,0,1,0,0,9.429766493377985,200,4
246,0.8724486172979211,0.21131481525515747,11,11,0,1,0,0,9.43056315332409,200,3
247,0.3484058113128409,0.18192247049526852,10,10,0,1,0,0,9.536180545954778,200,4
248,0.3996230623836528,0.19603676030333128,11,11,0,1,0,0,9.48516068613841,200,4
249,0.3736247630461554,0.17770457835169567,11,4,7,2,0,0,9.484795218711051,200,4
250,0.3348657350981248,0.14911897758415152,11,4,7,0,0,0,9.83810331752755,192,3
251,0.3629431938942322,0.16880067889325018,11,4,7,1,0,0,9.460773153235259,200,4
252,0.34654560615653046,0.1691788849304853,11,11,0,1,0,0,9.45417629180408,200,3
253,0.47513136859377486,0.27046444611667675,22,15,7,1,0,0,10.594325374293698,200,4
254,0.45778474195923985,0.2386943381554388,22,15,7,1,0,0,9.195913953865213,200,5
255,0.39596035418365183,0.1892520444670707,11,11,0,1,0,1,9.435156240682828,200,4
256,0.34416361271397383,0.1617274440120451,11,4,7,1,0,0,9.398904661609425,200,3
257,1.8847651016941391,0.7147995581310793,0,0,0,2,0,4,9.03545644386766,200,5
258,0.5760765367993226,0.23095488721723628,12,6,6,1,0,1,9.29009763334715,200,5
259,0.3484058113128409,0.17267818860365236,1,1,0,1,0,0,9.31441641012167,200,3
